"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","pprom_pre","pprom_post","teen_pre","teen_post","scd_pre","scd_post"
"Q 1",66.7,66.7,60,93.3,100,100,6.7,6.7,26.7,46.7,66.7,100
"Q 2",80,93.3,86.7,86.7,80,80,46.7,53.3,66.7,93.3,60,93.3
"Q 3",73.3,80,66.7,86.7,60,80,80,93.3,80,93.3,80,93.3
"Q 4",73.3,86.7,46.7,73.3,66.7,80,33.3,26.7,73.3,93.3,33.3,46.7
"Q 5",86.7,100,93.3,93.3,86.7,93.3,60,66.7,86.7,80,33.3,40
"Q 6",80,86.7,60,60,60,80,73.3,86.7,53.3,53.3,86.7,80
"Q 7",93.3,93.3,53.3,66.7,73.3,80,20,53.3,86.7,100,6.7,20
"Q 8",86.7,93.3,60,73.3,86.7,86.7,80,100,93.3,86.7,40,60
"Q 9",20,53.3,60,80,60,53.3,73.3,93.3,73.3,80,86.7,26.7
"Q 10",93.3,93.3,80,93.3,73.3,100,80,93.3,73.3,66.7,73.3,80
