"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","pprom_pre","pprom_post","teen_pre","teen_post","scd_pre","scd_post"
"Q 1",62.5,68.8,96.9,95.3,49.1,56.6,37.5,52.5,85.3,94.1,76.3,60.5
"Q 2",78.1,90.6,59.4,57.8,66,75.5,87.5,90,85.3,94.1,10.5,18.4
"Q 3",81.2,100,32.8,51.6,32.1,45.3,85,95,100,94.1,52.6,92.1
"Q 4",67.2,95.3,75,85.9,58.5,81.1,40,55,100,97.1,36.8,55.3
"Q 5",53.1,40.6,73.4,82.8,69.8,62.3,32.5,27.5,52.9,79.4,73.7,84.2
"Q 6",85.9,85.9,31.2,84.4,11.3,17,65,77.5,79.4,64.7,42.1,63.2
"Q 7",93.8,98.4,51.6,67.2,83,92.5,57.5,82.5,55.9,82.4,71.1,73.7
"Q 8",70.3,78.1,93.8,96.9,62.3,77.4,80,90,0,11.8,65.8,76.3
"Q 9",45.3,45.3,85.9,90.6,66,73.6,70,85,79.4,79.4,63.2,78.9
"Q 10",84.4,95.3,68.8,73.4,79.2,84.9,60,82.5,79.4,94.1,86.8,86.8
