"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","pprom_pre","pprom_post","teen_pre","teen_post","scd_pre","scd_post"
"Q 1",72,76.8,68.9,77,96.4,98.8,18.8,50.7,46.6,45.2,73.1,76.1
"Q 2",82.9,86.6,63.5,85.1,53,80.7,53.6,72.5,71.2,61.6,47.8,55.2
"Q 3",63.4,82.9,64.9,74.3,71.1,78.3,71,85.5,76.7,84.9,80.6,94
"Q 4",68.3,74.4,56.8,66.2,56.6,65.1,23.2,30.4,78.1,87.7,41.8,46.3
"Q 5",78,97.6,90.5,93.2,66.3,79.5,44.9,66.7,82.2,87.7,41.8,82.1
"Q 6",72,80.5,71.6,87.8,59,71.1,65.2,84.1,45.2,58.9,73.1,76.1
"Q 7",84.1,91.5,58.1,70.3,89.2,96.4,26.1,55.1,82.2,90.4,31.3,41.8
"Q 8",75.6,89,45.9,52.7,83.1,88,73.9,91.3,74,86.3,41.8,62.7
"Q 9",61,73.2,56.8,70.3,55.4,60.2,55.1,81.2,74,87.7,68.7,79.1
"Q 10",64.6,82.9,60.8,68.9,71.1,84.3,65.2,84.1,69.9,68.5,61.2,86.6
