"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Nandurbar","ane",6.5,1.8,65.4,6.9,2.1,68.9,0.446678
"Nandurbar","htn",6.8,1.9,67.6,7.3,1.8,73.2,0.186235
"Nandurbar","pprom",4.9,2.1,48.6,6.1,2.1,61.4,0.010426
"Nandurbar","qanc",7.6,1.7,76.2,7.4,1.9,73.8,0.554436
"Nandurbar","scd",4.4,1.7,43.8,4.8,1.5,48.1,0.258992
"Nandurbar","teen",6.3,1.9,62.7,7.6,1.8,76.2,0.002065
"Overall Average","ane",6.5,1.8,65.4,6.9,2.1,68.9,NA
"Overall Average","htn",6.8,1.9,67.6,7.3,1.8,73.2,NA
"Overall Average","pprom",4.9,2.1,48.6,6.1,2.1,61.4,NA
"Overall Average","qanc",7.6,1.7,76.2,7.4,1.9,73.8,NA
"Overall Average","scd",4.4,1.7,43.8,4.8,1.5,48.1,NA
"Overall Average","teen",6.3,1.9,62.7,7.6,1.8,76.2,NA
