"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Nandurbar","ane",6.7,2.2,66.7,8.1,1.8,80.7,0.063882
"Nandurbar","htn",7.5,2.6,74.7,8.3,1.8,83.3,0.303885
"Nandurbar","pprom",5.5,2.3,55.3,6.7,1.3,67.3,0.087603
"Nandurbar","qanc",7.5,1.6,75.3,8.5,1.2,84.7,0.091177
"Nandurbar","scd",5.7,1.5,56.7,6.4,1.6,64,0.211074
"Nandurbar","teen",7.1,2.1,71.3,7.9,1.4,79.3,0.235223
"Overall Average","ane",6.7,2.2,66.7,8.1,1.8,80.7,NA
"Overall Average","htn",7.5,2.6,74.7,8.3,1.8,83.3,NA
"Overall Average","pprom",5.5,2.3,55.3,6.7,1.3,67.3,NA
"Overall Average","qanc",7.5,1.6,75.3,8.5,1.2,84.7,NA
"Overall Average","scd",5.7,1.5,56.7,6.4,1.6,64,NA
"Overall Average","teen",7.1,2.1,71.3,7.9,1.4,79.3,NA
