"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Nandurbar","ane",6.7,1.4,66.9,7.9,1.2,78.6,2e-06
"Nandurbar","htn",5.8,2.1,57.7,6.7,1.8,66.6,0.023392
"Nandurbar","pprom",6.2,2.1,61.5,7.4,1.6,73.8,0.003838
"Nandurbar","qanc",7.2,1.6,72.2,8,1.2,79.8,0.002152
"Nandurbar","scd",5.8,1.7,57.9,6.9,1.8,68.9,0.006154
"Nandurbar","teen",7.2,1.6,71.8,7.9,1.3,79.1,0.039851
"Overall Average","ane",6.7,1.4,66.9,7.9,1.2,78.6,NA
"Overall Average","htn",5.8,2.1,57.7,6.7,1.8,66.6,NA
"Overall Average","pprom",6.2,2.1,61.5,7.4,1.6,73.8,NA
"Overall Average","qanc",7.2,1.6,72.2,8,1.2,79.8,NA
"Overall Average","scd",5.8,1.7,57.9,6.9,1.8,68.9,NA
"Overall Average","teen",7.2,1.6,71.8,7.9,1.3,79.1,NA
